Timestamp                       Thread     Type        Activity             PID    TTL  
2024-12-12 21:45:11.760781+0100 0x78e2     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:] networkd_settings_read_from_file initialized networkd settings by reading plist directly
2024-12-12 21:45:11.760930+0100 0x78e2     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:] networkd_settings_read_from_file initialized networkd settings by reading plist directly
2024-12-12 21:45:11.830818+0100 0x793a     Info        0x0                  1619   0    banshee: (Network) [com.apple.network:connection] nw_connection_create_with_id [C1] create connection to Hostname#1e4f17b5:443
2024-12-12 21:45:11.830825+0100 0x793a     Info        0x0                  1619   0    banshee: (Network) [com.apple.network:connection] nw_connection_create_with_id_block_invoke [C1] has alternative Hostname#1e4f17b5:443 for quic
2024-12-12 21:45:11.830863+0100 0x793a     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:connection] [C1 DBD897C4-4A1C-42BC-A5E4-1EF4E29D5988 Hostname#1e4f17b5:443 quic-connection, url hash: 9f5a46e3, definite, attribution: developer, context: com.apple.CFNetwork.NSURLSession.{6C5937AB-AED6-40F6-9A97-04AA6F613D25}{(null)}{Y}{2}{0x0} (private), proc: DC49C7EF-79B7-3EAF-A10D-936C5C3CA59A] start
2024-12-12 21:45:11.830868+0100 0x793a     Info        0x0                  1619   0    banshee: (Network) [com.apple.network:connection] nw_endpoint_handler_start [C1 Hostname#1e4f17b5:443 initial parent-flow ((null))]
2024-12-12 21:45:11.830877+0100 0x793a     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:connection] [C1 Hostname#1e4f17b5:443 initial parent-flow ((null))] event: path:start @0.000s
2024-12-12 21:45:11.831169+0100 0x793a     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:connection] [C1 Hostname#1e4f17b5:443 waiting parent-flow (satisfied (Path is satisfied), interface: en0, ipv4, dns)] event: path:satisfied @0.000s, uuid: 48A6547E-FB1E-4C94-B5D8-7B1E12896FBC
2024-12-12 21:45:11.831172+0100 0x793a     Info        0x0                  1619   0    banshee: (Network) [com.apple.network:connection] nw_connection_endpoint_report_on_nw_queue_block_invoke [C1 Hostname#1e4f17b5:443 waiting parent-flow (satisfied (Path is satisfied), interface: en0, ipv4, dns)] skipping state update
2024-12-12 21:45:11.831215+0100 0x793a     Default     0x0                  1619   0    banshee: (Network) [com.apple.network:connection] [C1 Hostname#1e4f17b5:443 in_progress parent-flow (satisfied (Path is satisfied), interface: en0, ipv4, dns)] event: flow:start_connect @0.000s
